INFO   | jvm 1    | 2020/03/09 14:55:54 | WrapperStartStopApp Error: Not enough arguments.  Minimum 5 required.
INFO   | jvm 1    | 2020/03/09 14:55:54 | 
INFO   | jvm 1    | 2020/03/09 14:55:54 | WrapperStartStopApp Usage:
INFO   | jvm 1    | 2020/03/09 14:55:54 |   java org.tanukisoftware.wrapper.WrapperStartStopApp {start_class{/start_method}} {start_arg_count} [start_arguments] {stop_class{/stop_method}} {stop_wait} {stop_arg_count} [stop_arguments]
INFO   | jvm 1    | 2020/03/09 14:55:54 | 
INFO   | jvm 1    | 2020/03/09 14:55:54 | Where:
INFO   | jvm 1    | 2020/03/09 14:55:54 |   start_class:     The fully qualified class name to run to start the 
INFO   | jvm 1    | 2020/03/09 14:55:54 |                    application.
INFO   | jvm 1    | 2020/03/09 14:55:54 |   start_arg_count: The number of arguments to be passed to the start class's 
INFO   | jvm 1    | 2020/03/09 14:55:54 |                    main method.
INFO   | jvm 1    | 2020/03/09 14:55:54 |   start_arguments: The arguments that would normally be passed to the start 
INFO   | jvm 1    | 2020/03/09 14:55:54 |                    class application.
INFO   | jvm 1    | 2020/03/09 14:55:54 |   stop_class:      The fully qualified class name to run to stop the 
INFO   | jvm 1    | 2020/03/09 14:55:54 |                    application.
INFO   | jvm 1    | 2020/03/09 14:55:54 |   stop_wait:       When stopping, should the Wrapper wait for all threads to 
INFO   | jvm 1    | 2020/03/09 14:55:54 |                    complete before exiting (true/false).
INFO   | jvm 1    | 2020/03/09 14:55:54 |   stop_arg_count:  The number of arguments to be passed to the stop class's 
INFO   | jvm 1    | 2020/03/09 14:55:54 |                    main method.
INFO   | jvm 1    | 2020/03/09 14:55:54 |   stop_arguments:  The arguments that would normally be passed to the stop 
INFO   | jvm 1    | 2020/03/09 14:55:54 |                    class application.
STATUS | wrapper  | 2020/03/09 14:55:56 | <-- Wrapper Stopped
STATUS | wrapper  | 2020/03/09 14:56:29 | --> Wrapper Started as Console
STATUS | wrapper  | 2020/03/09 14:56:29 | Java Service Wrapper Community Edition 64-bit 3.5.42
STATUS | wrapper  | 2020/03/09 14:56:29 |   Copyright (C) 1999-2020 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2020/03/09 14:56:29 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2020/03/09 14:56:29 | 
STATUS | wrapper  | 2020/03/09 14:56:29 | Launching a JVM...
INFO   | jvm 1    | 2020/03/09 14:56:29 | WrapperManager: Initializing...
INFO   | jvm 1    | 2020/03/09 14:56:30 | WrapperSimpleApp Error: Unable to locate the class uk.co.planetbeyond.service.main.Main : java.lang.ClassNotFoundException: uk.co.planetbeyond.service.main.Main
INFO   | jvm 1    | 2020/03/09 14:56:30 | 
INFO   | jvm 1    | 2020/03/09 14:56:30 | WrapperSimpleApp Usage:
INFO   | jvm 1    | 2020/03/09 14:56:30 |   java org.tanukisoftware.wrapper.WrapperSimpleApp {app_class{/app_method}} [app_arguments]
INFO   | jvm 1    | 2020/03/09 14:56:30 | 
INFO   | jvm 1    | 2020/03/09 14:56:30 | Where:
INFO   | jvm 1    | 2020/03/09 14:56:30 |   app_class:      The fully qualified class name of the application to run.
INFO   | jvm 1    | 2020/03/09 14:56:30 |   app_arguments:  The arguments that would normally be passed to the
INFO   | jvm 1    | 2020/03/09 14:56:30 |                   application.
STATUS | wrapper  | 2020/03/09 14:56:32 | <-- Wrapper Stopped
STATUS | wrapper  | 2020/03/09 15:03:58 | --> Wrapper Started as Console
STATUS | wrapper  | 2020/03/09 15:03:58 | Java Service Wrapper Community Edition 64-bit 3.5.42
STATUS | wrapper  | 2020/03/09 15:03:58 |   Copyright (C) 1999-2020 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2020/03/09 15:03:58 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2020/03/09 15:03:58 | 
STATUS | wrapper  | 2020/03/09 15:03:58 | Launching a JVM...
